Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1982,Star Trek II: The Wrath of Khan,14.152,1466,good,Thriller
2001,Fat Girl,14.15,144,below_avg,Drama
1940,Rebecca,14.15,1255,good,Mystery
1940,Rebecca,14.15,1255,good,Drama
1940,Rebecca,14.15,1255,good,Thriller
1940,Rebecca,14.15,1255,good,Romance
2019,"Turu, the Wacky Hen",14.148,85,good,Family
2019,"Turu, the Wacky Hen",14.148,85,good,Animation
2019,"Turu, the Wacky Hen",14.148,85,good,Music
2019,"Turu, the Wacky Hen",14.148,85,good,Adventure
2017,The Dinner,14.148,236,not_good,Drama
2017,The Dinner,14.148,236,not_good,Thriller
2017,The Dinner,14.148,236,not_good,Mystery
1998,Blues Brothers 2000,14.147,511,not_good,Music
1998,Blues Brothers 2000,14.147,511,not_good,Action
1998,Blues Brothers 2000,14.147,511,not_good,Comedy
1998,Blues Brothers 2000,14.147,511,not_good,Crime
2011,The Lost Bladesman,14.146,79,below_avg,History
2011,The Lost Bladesman,14.146,79,below_avg,Drama
2011,The Lost Bladesman,14.146,79,below_avg,Action
2011,The Lost Bladesman,14.146,79,below_avg,War
2019,Ted Bundy: Mind of a Monster,14.145,35,good,Crime
2019,Ted Bundy: Mind of a Monster,14.145,35,good,Documentary
2018,Blindspotting,14.145,500,good,Comedy
2018,Blindspotting,14.145,500,good,Drama
2005,Bratz: Rock Angelz,14.145,37,below_avg,Animation
2005,Bratz: Rock Angelz,14.145,37,below_avg,Family
1990,Bullet in the Head,14.145,179,good,Thriller
1990,Bullet in the Head,14.145,179,good,Crime
1990,Bullet in the Head,14.145,179,good,Drama
1990,Bullet in the Head,14.145,179,good,Action
1990,Bullet in the Head,14.145,179,good,War
2016,You're Killing Me Susana,14.144,87,below_avg,Romance
2016,You're Killing Me Susana,14.144,87,below_avg,Drama
2016,You're Killing Me Susana,14.144,87,below_avg,Comedy
1996,Bloodsport II,14.142,85,not_good,Action
1996,Bloodsport II,14.142,85,not_good,Thriller
2019,Paradise Beach,14.141,130,not_good,Action
1978,Paradise Alley,14.141,93,not_good,Action
1978,Paradise Alley,14.141,93,not_good,Drama
1978,Watership Down,14.141,466,good,Adventure
1978,Watership Down,14.141,466,good,Animation
1978,Watership Down,14.141,466,good,Drama
2014,Felony,14.14,138,not_good,Mystery
2014,Felony,14.14,138,not_good,Thriller
2014,Felony,14.14,138,not_good,Crime
1986,Sid and Nancy,14.139,368,avg,Drama
1986,Sid and Nancy,14.139,368,avg,Romance
2017,Altitude,14.136,95,not_good,Action
2017,Altitude,14.136,95,not_good,Thriller
2006,"You, Me and Dupree",14.136,1106,not_good,Comedy
2006,"You, Me and Dupree",14.136,1106,not_good,Romance
2008,Knight Rider,14.135,37,below_avg,Science Fiction
2008,Knight Rider,14.135,37,below_avg,TV Movie
